"theta","K","R","n","m","Aobs_averagepcs","B","logitB","logitA"
0.15,4,1.5,30,2,0.4689,0.497435849322545,-0.0102566926256606,-0.124560801332813
0.15,4,1.5,35,2,0.48855,0.515168669211669,0.0606933011949425,-0.0458080085126641
0.15,4,1.5,40,2,0.49975,0.531483520545576,0.126100915753413,-0.00100000008333356
0.15,4,1.5,45,2,0.51215,0.546619624346248,0.187021720919479,0.0486095693285845
0.15,4,1.5,50,2,0.5308,0.560754315073793,0.244223965265512,0.123356185678732
0.15,4,1.5,20,3,0.4219,0.456203366868026,-0.175636650738711,-0.314978544958138
0.15,4,1.5,25,3,0.44455,0.477948185953597,-0.0882645145525256,-0.222716061460583
0.15,4,1.5,30,3,0.46635,0.497435849322545,-0.0102566926256606,-0.134803768187101
0.15,4,1.5,35,3,0.483,0.515168669211669,0.0606933011949425,-0.0680262208558565
0.15,4,1.5,40,3,0.49605,0.531483520545576,0.126100915753413,-0.0158003287049754
0.15,4,1.5,45,3,0.51015,0.546619624346248,0.187021720919479,0.0406055783306629
0.15,4,1.5,50,3,0.52605,0.560754315073793,0.244223965265512,0.104294434355246
0.15,4,1.5,20,4,0.41845,0.456203366868026,-0.175636650738711,-0.329139544306165
0.15,4,1.5,25,4,0.43765,0.477948185953597,-0.0882645145525256,-0.250704927671584
0.15,4,1.5,30,4,0.4576,0.497435849322545,-0.0102566926256606,-0.170008296560598
0.15,4,1.5,35,4,0.4777,0.515168669211669,0.0606933011949425,-0.0892592150463368
0.15,4,1.5,40,4,0.489,0.531483520545576,0.126100915753413,-0.0440071007288324
0.15,4,1.5,45,4,0.50275,0.546619624346248,0.187021720919479,0.01100011091868
0.15,4,1.5,50,4,0.5208,0.560754315073793,0.244223965265512,0.08324804409312
0.15,4,1.75,20,1,0.50155,0.534051545698661,0.136417346906983,0.00620001986078149
0.15,4,1.75,25,1,0.5242,0.562634198300614,0.251859760609976,0.0968756930204486
0.15,4,1.75,30,1,0.5498,0.587889568555017,0.355247770758766,0.199862647258513
0.15,4,1.75,35,1,0.5759,0.610547931139573,0.449616002140215,0.305964758032081
0.15,4,1.75,40,1,0.5908,0.631101926171775,0.536946997475737,0.367273516579753
0.15,4,1.75,45,1,0.61155,0.649903459720632,0.6186148825331,0.453832256536942
0.15,4,1.75,50,1,0.63155,0.667214932644391,0.695615393640176,0.538872098006976
0.15,4,1.75,20,2,0.4917,0.534051545698661,0.136417346906983,-0.033203050034963
0.15,4,1.75,25,2,0.5174,0.562634198300614,0.251859760609976,0.0696281165609974
0.15,4,1.75,30,2,0.5464,0.587889568555017,0.355247770758766,0.186135555843038
0.15,4,1.75,35,2,0.5683,0.610547931139573,0.449616002140215,0.274918545741644
0.15,4,1.75,40,2,0.58535,0.631101926171775,0.536946997475737,0.344775168028469
0.15,4,1.75,45,2,0.6076,0.649903459720632,0.6186148825331,0.43723504303041
0.15,4,1.75,50,2,0.6304,0.667214932644391,0.695615393640176,0.53393319877614
0.15,4,1.75,20,3,0.48755,0.534051545698661,0.136417346906983,-0.0498102959964441
0.15,4,1.75,25,3,0.51305,0.562634198300614,0.251859760609976,0.0522118579010099
0.15,4,1.75,30,3,0.54115,0.587889568555017,0.355247770758766,0.164973145476133
0.15,4,1.75,35,3,0.56525,0.610547931139573,0.449616002140215,0.262496957923687
0.15,4,1.75,40,3,0.5825,0.631101926171775,0.536946997475737,0.333044641148945
0.15,4,1.75,45,3,0.6053,0.649903459720632,0.6186148825331,0.42759822022884
0.15,4,1.75,50,3,0.6225,0.667214932644391,0.695615393640176,0.500173059649784
0.15,4,1.75,20,4,0.48355,0.534051545698661,0.136417346906983,-0.0658237562896702
0.15,4,1.75,25,4,0.50865,0.562634198300614,0.251859760609976,0.0346034524313216
0.15,4,1.75,30,4,0.53405,0.587889568555017,0.355247770758766,0.13641113530404
0.15,4,1.75,35,4,0.558,0.610547931139573,0.449616002140215,0.233049080303613
0.15,4,1.75,40,4,0.5773,0.631101926171775,0.536946997475737,0.311699354494144
0.15,4,1.75,45,4,0.59885,0.649903459720632,0.6186148825331,0.400675727193851
0.15,4,1.75,50,4,0.6194,0.667214932644391,0.695615393640176,0.487002312677053
0.15,4,2,20,1,0.55105,0.599070844900188,0.401595121950992,0.204914026170734
0.15,4,2,25,1,0.57705,0.632298483522129,0.542090054185204,0.31067494911639
0.15,4,2,30,1,0.60445,0.66117238758084,0.668523143901567,0.424041752180596
0.15,4,2,35,1,0.63005,0.686649256842357,0.784500470359594,0.532431319944142
0.15,4,2,40,1,0.64905,0.709378557099127,0.89236777828421,0.614865992162573
0.15,4,2,45,1,0.6729,0.729826968293683,0.993744864403756,0.721330795649934
0.15,4,2,50,1,0.69485,0.748344353219591,1.08980156531104,0.822892535942087
0.15,4,2,20,2,0.541,0.599070844900188,0.401595121950992,0.164369068785937
0.15,4,2,25,2,0.57195,0.632298483522129,0.542090054185204,0.289811563783188
0.15,4,2,30,2,0.6026,0.66117238758084,0.668523143901567,0.416310296578484
0.15,4,2,35,2,0.6272,0.686649256842357,0.784500470359594,0.520223386224762
0.15,4,2,40,2,0.64655,0.709378557099127,0.89236777828421,0.603908502124897
0.15,4,2,45,2,0.6736,0.729826968293683,0.993744864403756,0.724512839838165
